,0,1,2,3
二林,二林,崙背,彰化,線西
三重,三重,菜寮,大同,萬華
三義,三義,豐原,苗栗,沙鹿
土城,土城,板橋,新莊,永和
士林,士林,三重,大同,中山
大同,大同,中山,萬華,三重
大里,大里,忠明,西屯,彰化
大園,大園,平鎮,中壢,觀音
大寮,大寮,林園,小港,鳳山
小港,小港,前鎮,復興,鳳山
中山,中山,大同,萬華,三重
中壢,中壢,平鎮,龍潭,桃園
仁武,仁武,左營,楠梓,鳳山
斗六,斗六,竹山,崙背,南投
冬山,冬山,宜蘭,新店,汐止
古亭,古亭,永和,萬華,中山
左營,左營,仁武,前金,楠梓
平鎮,平鎮,中壢,龍潭,大園
永和,永和,古亭,萬華,新店
安南,安南,臺南,善化,新營
朴子,朴子,新港,新營,嘉義
汐止,汐止,松山,中山,古亭
竹山,竹山,斗六,南投,二林
竹東,竹東,新竹,湖口,龍潭
西屯,西屯,忠明,沙鹿,大里
沙鹿,沙鹿,西屯,忠明,線西
宜蘭,宜蘭,冬山,新店,汐止
忠明,忠明,西屯,大里,沙鹿
松山,松山,中山,古亭,汐止
板橋,板橋,土城,新莊,永和
林口,林口,新莊,桃園,板橋
林園,林園,大寮,小港,潮州
花蓮,花蓮,埔里,冬山,宜蘭
金門,金門,馬公,臺西,麥寮
前金,前金,前鎮,復興,左營
前鎮,前鎮,復興,前金,小港
南投,南投,竹山,大里,彰化
屏東,屏東,大寮,鳳山,仁武
恆春,恆春,潮州,林園,大寮
美濃,美濃,屏東,楠梓,橋頭
苗栗,苗栗,頭份,三義,新竹
埔里,埔里,南投,大里,竹山
桃園,桃園,林口,中壢,新莊
馬公,馬公,臺西,朴子,麥寮
馬祖,馬祖,觀音,湖口,大園
基隆,基隆,萬里,汐止,松山
崙背,崙背,麥寮,臺西,二林
淡水,淡水,陽明,士林,菜寮
麥寮,麥寮,臺西,崙背,新港
善化,善化,安南,臺南,新營
復興,復興,前鎮,前金,鳳山
湖口,湖口,新竹,觀音,竹東
菜寮,菜寮,三重,大同,萬華
陽明,陽明,士林,淡水,三重
新竹,新竹,湖口,頭份,竹東
新店,新店,古亭,永和,萬華
新莊,新莊,板橋,菜寮,土城
新港,新港,嘉義,朴子,崙背
新營,新營,朴子,善化,嘉義
楠梓,楠梓,橋頭,仁武,左營
萬里,萬里,基隆,汐止,陽明
萬華,萬華,大同,中山,三重
嘉義,嘉義,新港,朴子,新營
彰化,彰化,線西,西屯,忠明
臺西,臺西,麥寮,崙背,新港
臺東,臺東,關山,美濃,潮州
臺南,臺南,安南,善化,橋頭
鳳山,鳳山,復興,前鎮,小港
潮州,潮州,大寮,林園,屏東
線西,線西,彰化,沙鹿,西屯
橋頭,橋頭,楠梓,仁武,左營
頭份,頭份,新竹,苗栗,竹東
龍潭,龍潭,中壢,平鎮,桃園
豐原,豐原,三義,忠明,西屯
關山,關山,臺東,美濃,屏東
觀音,觀音,大園,湖口,平鎮
